time,ax,ay,az,aT
24.3560,2.4948,-0.9912,-0.8954,2.830
24.4820,-2.4229,6.5888,7.4795,10.258
24.4910,-3.4524,6.1148,7.6998,10.421
24.5490,0.3543,-1.3455,-0.7997,1.605
24.6440,2.7773,-5.3965,-3.6631,7.089
24.6830,3.0215,-6.4117,-5.5833,9.023
24.8170,2.4756,-4.7453,-4.5250,7.009
24.8250,0.1197,1.3886,1.2833,1.895
24.8800,-1.9201,8.8107,11.0038,14.227
25.0040,0.1437,4.7022,4.3048,6.377
25.0130,2.0877,-1.2737,-2.4373,3.453
25.0970,3.1795,-4.6064,-5.0326,7.527
25.1470,3.4046,-5.2337,-5.6216,8.401
25.2350,4.1180,-2.0207,-2.1979,5.086
25.2780,1.4700,5.7748,9.5624,11.267
25.3550,-2.4948,6.4212,7.6183,10.271
25.4270,-2.2841,-0.2155,-1.5754,2.783
25.4780,0.2682,-4.1563,-4.1563,5.884
25.5620,0.9098,-5.4875,-5.8466,8.070
25.6100,0.3400,-3.1987,-4.3239,5.389
25.7380,-2.1931,3.5626,3.8164,5.663
25.7440,-1.2546,8.2456,10.9223,13.743
25.8080,3.0406,1.2450,0.3065,3.300
25.9090,5.8562,-2.8443,-3.4620,7.374
25.9870,5.4779,-4.1324,-5.2002,8.610
26.0230,3.4381,-1.6376,-2.6959,4.666
26.1380,-0.7661,4.2760,4.2090,6.049
26.1460,-3.8307,7.9966,9.7971,13.214
26.3350,-0.5890,0.7422,0.6081,1.126
26.3410,2.4948,-4.0079,-3.0406,5.615
26.3430,2.6097,-6.6559,-5.6072,9.086
26.4350,2.8539,-5.6886,-6.0956,8.813
26.5820,0.3304,-1.7238,-1.6281,2.394
26.6090,-1.6999,7.2975,11.5831,13.795
26.6110,-0.5555,6.3207,8.5186,10.622
26.6830,1.3503,-0.0718,-1.9632,2.384
26.7410,3.5578,-4.0989,-5.4396,7.684
26.8940,4.0749,-5.2194,-6.7038,9.423
26.9020,4.2713,-2.2170,-3.2705,5.818
26.9390,1.2977,4.0031,7.4795,8.582
27.0630,-2.0782,6.9049,10.5297,12.762
27.0710,-2.6959,0.4118,-1.3503,3.043
27.1360,0.2059,-3.2561,-3.7733,4.988
27.2270,1.3120,-4.2713,-4.2090,6.138
27.2690,2.1691,-3.7014,-4.9895,6.580
27.3770,-2.2889,1.3743,0.6033,2.737
27.4120,-3.6775,8.3989,8.9878,12.839
27.5700,2.2027,3.7685,4.2904,6.121
27.5770,6.0478,-2.1356,-1.5514,6.599
27.6110,6.3542,-4.6878,-3.7972,8.762
27.7600,2.7869,-4.3574,-5.8993,7.846
27.7680,0.3735,1.0247,0.4405,1.176
27.8090,-3.8259,7.4747,10.1801,13.196
27.9570,-2.1644,3.6152,2.3894,4.844
27.9640,1.5131,-2.2889,-1.6616,3.208
27.9970,2.5522,-5.1523,-4.4245,7.255
28.1140,2.5857,-5.4253,-6.2153,8.646
28.1300,2.4134,-3.7637,-4.3048,6.207
28.1980,-0.5890,3.2465,4.4628,5.550
28.2700,-1.3216,9.4715,12.8473,16.016
28.3290,0.3926,2.3894,1.2785,2.738
28.3950,2.7581,-2.3703,-3.8403,5.289
28.4610,2.9832,-4.9416,-6.4212,8.634
28.5300,3.5003,-4.6831,-5.5210,8.041
28.6730,3.6775,-0.2107,-0.0479,3.684
28.6790,1.1875,7.4316,12.6270,14.700
28.7280,-1.7478,3.7397,4.8698,6.384
28.8500,-1.2258,-1.4078,-2.4373,3.070
28.8620,0.2155,-3.9265,-4.4053,5.905
28.9930,0.6225,-4.1132,-5.1092,6.589
29.0000,-2.0494,-1.6903,-1.6568,3.131
29.0590,-5.3774,5.4444,6.9192,10.317
29.1250,0.7278,4.1563,6.3015,7.584
29.1940,8.6287,-0.5842,-0.5171,8.664
29.2620,8.8155,-3.3327,-4.2760,10.349
29.3350,6.4404,-3.9025,-5.8323,9.525
29.3910,3.0215,-1.4030,-3.7014,4.980
29.4780,-4.0223,9.0501,12.0572,15.603
29.5230,-4.3574,5.4636,11.1330,13.145
29.6050,0.2873,-2.8204,-2.6001,3.847
29.6560,1.9728,-6.9767,-7.5274,10.451
29.7410,2.7246,-7.7764,-9.0644,12.250
29.7900,2.4229,-5.1140,-7.0437,9.035
29.8540,-0.4118,0.5219,7.0150,7.046
29.9210,0.7614,3.4189,10.3765,10.952
30.0310,1.2785,2.0399,-0.7661,2.526
30.0540,-5.5785,-1.2115,13.9343,15.058
30.1220,1.5131,0.7183,0.0575,1.676
30.1930,1.9297,0.7805,-3.1125,3.744
30.2540,0.6991,0.5650,-0.2059,0.922
30.3880,0.8523,0.9864,-1.6999,2.142
30.3950,0.9912,0.9864,0.1484,1.406
30.4520,0.9242,1.0056,0.1293,1.372
30.5370,0.8667,0.8236,0.0000,1.196
30.5970,0.8188,0.8332,0.0431,1.169
30.6510,0.8092,0.6704,0.1293,1.059
30.7570,0.8092,0.7183,0.0383,1.083
30.7840,0.8859,0.7278,-0.1149,1.152
30.8500,0.6512,0.5411,0.1484,0.860
30.9180,0.7135,0.5698,-0.0527,0.915
30.9830,0.7135,0.5986,0.0958,0.936
31.1110,0.7135,0.5698,0.1532,0.926
31.1200,0.5938,0.4549,-0.1197,0.758
31.2780,0.4262,0.3496,-0.1484,0.571
31.2850,0.5842,0.4501,0.0814,0.742
31.3550,0.5938,0.3639,0.0144,0.697
